Çalışan ID,Ad,Soyad,E-posta,Telefon Numarası,Departman,Pozisyon,Maaş,İşe Başlama Tarihi,Cinsiyet,Doğum Tarihi,Şehir
EMP_00001,Aysevim,Duran,aysevim.duran@gul.net,+90 (605) 5444659,Donanım Mühendisliği,Takım Lideri,45681,2019-05-13,Kadın,1982-04-13,Arsoymouth
EMP_00002,Semender,Yaman,semender.yaman@eren.net,+90(576)696-4882x2576,Üretim,Analist,22067,2017-08-10,Erkek,1977-09-04,Çamurcuoğlumouth
EMP_00003,Özel,Dumanlı,özel.dumanlı@cetin.org,234 4 135,Satış,Uzman,22839,2022-01-08,Kadın,1973-10-10,New Güllühan
EMP_00004,Eröz,Zorlu,eröz.zorlu@sener.com,+90(925)8404299,Finans,Kıdemli Mühendis,26041,2019-08-12,Erkek,1970-06-16,Adasalshire
EMP_00005,Goncafer,Duran,goncafer.duran@safak.tr,+90(324)9047526,Müşteri Hizmetleri,Direktör,101492,2021-06-19,Erkek,1998-07-15,East Süheydamouth
EMP_00006,Tuğrulhan,İhsanoğlu,tuğrulhan.i̇hsanoğlu@camurcuoglu.org,+90(801)4041983,Hukuk,Uzman,34220,2022-11-13,Kadın,1981-11-25,Burçville
EMP_00007,Beyler,İhsanoğlu,beyler.i̇hsanoğlu@aksu.org,+90(962)463-8106x6883,Finans,Uzman Yardımcısı,26171,2017-02-06,Erkek,1964-08-28,West Muvahhidemouth
EMP_00008,Evrimer,Bilgin,evrimer.bilgin@selcuk.net,+90(364)4679388,Satış,Direktör,66326,2020-11-22,Kadın,1979-07-12,Akgündüzberg
EMP_00009,Abdülcemal,Yıldırım,abdülcemal.yıldırım@akcay.tr,+90 (669) 9280445,Üretim,Müşteri Temsilcisi,12499,2016-07-08,Erkek,1984-05-27,North Güverçin
EMP_00010,Havali,Türk,havali.türk@sener.tr,0810-528 3717,Yazılım Geliştirme,Proje Yöneticisi,112976,2017-05-06,Kadın,1986-03-03,Afifefurt
EMP_00011,İlgi,Hançer,i̇lgi.hançer@zengin.org,+90 (861) 1669920,Satış,Takım Lideri,47066,2018-08-19,Erkek,1982-09-05,West Aytek
EMP_00012,Suphi,Ülker,suphi.ülker@ulker.tr,+90(334)122-6730x320,Donanım Mühendisliği,Analist,22600,2016-05-15,Erkek,1974-02-04,North Ertün
EMP_00013,Mufide,Yüksel,mufide.yüksel@basf.com,+90(298)7852855,Satış,Müşteri Temsilcisi,20461,2021-06-02,Erkek,1994-10-04,Lake Huricanchester
EMP_00014,Tezol,Gül,tezol.gül@bim.tr,+90(115)733-6143x8643,Yazılım Geliştirme,Genel Müdür,90884,2024-07-16,Erkek,1984-11-24,West Köktaş
EMP_00015,Gökay,İnönü,gökay.i̇nönü@manco.org,+90(605)646-5082x6275,Yazılım Geliştirme,Satış Temsilcisi,12256,2015-12-20,Kadın,1990-05-31,Galipside
EMP_00016,Öktürk,Ergül,öktürk.ergül@mapa.net,0177-602 2848,Yazılım Geliştirme,Genel Müdür,145263,2020-02-17,Kadın,1994-05-17,Bozbağfurt
